Wire,Location,Signal
208,CN1-1,TOOL UNCLAMP
209,CN1-2,TOOL CLAMP
210,CN1-3,HIGH GEAR
212,CN1-4,LOW GEAR
232,CN1-5,2nd-S LEVEL
233,CN1-6,HEAD LUBE PRESSURE
0G,CN1-7,DC24V COM (-) NC
*DECZ,CN1-14,Z-AXIS ZERO RETURN DEC
SP16,CN1-15,SPARE INPUT
SP17,CN1-16,SPARE INPUT
SP18,CN1-17,SPARE OUTPUT
SP19,CN1-18,SPARE OUTPUT
+24V,CN1-20,DC24V +COM (MC)
362,CN2-1,MAGAZINE TIMER
351,CN2-2,MAGAZINE FWD/REV SHIFTER
149,CN2-3,TOOL UNCLAMP (FOOT SW)
150,CN2-4,MAGAZINE ROT POS 1
221,CN2-5,MAGAZINE ROT POS 2
222,CN2-6,MAGAZINE ROT POS 4
223,CN2-7,MAGAZINE ROT POS 8
224,CN2-8,MAGAZINE ROT POS 10
225,CN2-9,MAGAZINE POSITION OK
218,CN2-10,MAGAZINE POWER OPEN
218,CN2-11,MAGAZINE COVER OPEN
219,CN2-12,MAGAZINE FWD/REV SW
381,CN2-13,LUBE TIMER
+LTZ,CN2-14,Z-AXIS OVER TRAVEL
*DECX,CN2-15,X-AXIS ZERO RETURN DEC
*DECY,CN2-16,Y-AXIS ZERO RETURN DEC
0G,CN2-17,DC24V COM (-) NC
0G,CN2-18,DC24V COM (-)
0G,CN2-19,DC24V COM (-)
P24,CN2-21,DC24V +COM (MACHINE)
342,CN2-34,TOOL MEASURE DEVICE TIMER
345,CN2-35,TOOL MEASURE DEVICE SW
362,CN2-36,MAGAZINE LUBE TIMER
239,CN2-37,MAGAZINE LUBE PRESS SW
238,CN2-38,MACHINE DOOR INTERLOCK
340,CN2-39,SPARE INPUT 2
EHB,CN2-40,EMERGENCY STOP
EMC,CN2-41,EMG STOP 2nd
382,CN2-42,SPINDLE TOOL CLAMP OK
524,CN2-43,DC24V SELECTOR (X Y Z 4 5 6)
149B,CN2-44,FOOT SWITCH
CP24,CN2-45,FEED HOLD SW (LATCH)
SP29,CN2-46,SPARE OUTPUT
SP30,CN2-47,SPARE OUTPUT
+24V,CN2-49,DC24V +COM (NC)
+24V,CN2-50,DC24V +COM (NC)
EHB,CN3-1,EMERGENCY STOP
147,CN3-2,HEAD LUBE PRESSURE
142,CN3-3,TOOL CLAMP INTERLOCK
143,CN3-4,ZERO SPEED
NO,CN3-8,COM
SET2,CN3-9,COM
SET1,CN3-10,SPINDLE SET FORWARD
SRN,CN3-11,SPINDLE FORWARD
SRI,CN3-12,SPINDLE REVERSE
ORI C1,CN3-14,ORIENT COMMAND
CTL,CN3-15,ORIENT LOOP CHECK
COM,CN3-33,COM (DECEL) (CTL)
WLAL,CN3-35,WAY LUBE ALARM
362,CN3-36,MAGAZINE TIMER
+LY,CN3-37,+Y OVER TRAVEL
-LZ,CN3-38,-Z OVER TRAVEL
147,CN3-39,OIL TEMP DETECTOR
SP1,CN3-40,spare
SP2,CN3-41,spare
SP3,CN3-42,spare
SP4,CN3-43,spare
SPTD,CN3-44,SPINDLE TIMER
+24V,CN3-49,DC24V +COM
+24V,CN3-50,DC24V +COM
